"Name","Count","Front Template","Back Template","Slot1","Slot2","Slot3","Slot4","Slot5","Slot6","Slot7","Slot8","Slot9","PriceA"
"Dylan","1","Customer Card Layout","Poker Back N1buk7ivl","Cabbage","Cabbage","Cabbage","Lemon","Lemon","Lemon","Nothing","Nothing","Nothing","24"
"Arthur","1","Customer Card Layout","Poker Back N1buk7ivl","Potato","Potato","Potato","Potato","Potato","Potato","Potato","Lemon","Lemon","27"
"Maximus","1","Customer Card Layout","Poker Back N1buk7ivl","Peach","Peach","Peach","Beet","Beet","Beet","Nothing","Nothing","Nothing","15"
"Jack","1","Customer Card Layout","Poker Back N1buk7ivl","Tomato","Tomato","Tomato","Mushroom","Mushroom","Nothing","Nothing","Nothing","Nothing","12"
"Chris","1","Customer Card Layout","Poker Back N1buk7ivl","Broccoli","Broccoli","Cabbage","Cabbage","Nothing","Nothing","Nothing","Nothing","Nothing","16"
"Christina","1","Customer Card Layout","Poker Back N1buk7ivl","Carrot","Carrot","Carrot","Carrot","Dragonfruit","Dragonfruit","Dragonfruit","Nothing","Nothing","23"
"Mina","1","Customer Card Layout","Poker Back N1buk7ivl","Cherry","Cherry","Cherry","Cherry","Pineapple","Pineapple","Pineapple","Nothing","Nothing","16"
"Melana","1","Customer Card Layout","Poker Back N1buk7ivl","Cucumber","Cucumber","Potato","Potato","Watermelon","Orange","Pear","Nothing","Nothing","20"
"Eleni","1","Customer Card Layout","Poker Back N1buk7ivl","Strawberry","Strawberry","Strawberry","Strawberry","Tomato","Tomato","Tomato","Tomato","Tomato","22"
"Dora","1","Customer Card Layout","Poker Back N1buk7ivl","Peach","Peach","Nothing","Nothing","Nothing","Carrot","Carrot","Carrot","Nothing","12"
"Thomas","1","Customer Card Layout","Poker Back N1buk7ivl","Mushroom","Nothing","Nothing","Nothing","Mushroom","Nothing","Nothing","Nothing","Mushroom","9"
"Isaac","1","Customer Card Layout","Poker Back N1buk7ivl","Nothing","Nothing","Nothing","Cabbage","Nothing","Cucumber","Nothing","Coconut","Nothing","11"
"Maria","1","Customer Card Layout","Poker Back N1buk7ivl","Nothing","Broccoli","Nothing","Broccoli","Nothing","Broccoli","Nothing","Broccoli","Broccoli","15"
"Mario","1","Customer Card Layout","Poker Back N1buk7ivl","Dragonfruit","Coconut","Nothing","Nothing","Nothing","Nothing","Nothing","Pineapple","Nothing","12"
"Rita","1","Customer Card Layout","Poker Back N1buk7ivl","Avocado","Beet","Coconut","Nothing","Nothing","Nothing","Nothing","Nothing","Nothing","9"
"Benjamin","1","Customer Card Layout","Poker Back N1buk7ivl","Nothing","Orange","Nothing","Nothing","Peach","Watermelon","Tomato","Nothing","Nothing","11"
"Luigi","1","Customer Card Layout","Poker Back N1buk7ivl","Cabbage","Cabbage","Cabbage","Cabbage","Cabbage","Cabbage","Cabbage","Cabbage","Cabbage","45"
"Maya","1","Customer Card Layout","Poker Back N1buk7ivl","Potato","Broccoli","Tomato","Pepper","Nothing","Nothing","Nothing","Nothing","Nothing","10"
"Wesley","1","Customer Card Layout","Poker Back N1buk7ivl","Nothing","Cabbage","Nothing","Nothing","Nothing","Nothing","Nothing","Nothing","Nothing","5"
"Caitlyn","1","Customer Card Layout","Poker Back N1buk7ivl","Cabbage","Nothing","Nothing","Cabbage","Pear","Nothing","Cabbage","Grape","Nothing","19"
"Robin","1","Customer Card Layout","Poker Back N1buk7ivl","Watermelon","Strawberry","Cherry","Orange","Grape","Nothing","Nothing","Nothing","Nothing","12"
"Eliza","1","Customer Card Layout","Poker Back N1buk7ivl","Tomato","Tomato","Tomato","Tomato","Coconut","Coconut","Dragonfruit","Nothing","Nothing","19"
"Alex","1","Customer Card Layout","Poker Back N1buk7ivl","Spinach","Spinach","Spinach","Spinach","Spinach","Carrot","Carrot","Carrot","Carrot","13"
"Lafeyette","1","Customer Card Layout","Poker Back N1buk7ivl","Potato","Potato","Pepper","Onion","Dragonfruit","Coconut","Dragonfruit","Pineapple","Nothing","27"
"Jenette","1","Customer Card Layout","Poker Back N1buk7ivl","Mushroom","Mushroom","Mushroom","Mushroom","Tomato","Tomato","Tomato","Nothing","Nothing","18"
"Matt","1","Customer Card Layout","Poker Back N1buk7ivl","Potato","Onion","Beet","Corn","Carrot","Spinach","Nothing","Nothing","Nothing","11"
"Jordan","1","Customer Card Layout","Poker Back N1buk7ivl","Banana","Grape","Orange","Pear","Cherry","Nothing","Nothing","Nothing","Nothing","9"
"Daniel","1","Customer Card Layout","Poker Back N1buk7ivl","Watermelon","Nothing","Nothing","Nothing","Nothing","Nothing","Nothing","Nothing","Nothing","4"
"David","1","Customer Card Layout","Poker Back N1buk7ivl","Tomato","Broccoli","Cabbage","Tomato","Nothing","Nothing","Nothing","Nothing","Cabbage","17"
